timestamp,step_idx,stage,op,component,layer,label,score,threshold,decision
2026-03-27T15:01:38.340848+00:00,-1,0,baseline,baseline,-1,deepseek-coder-7b-instruct-v1.5,70.12,0.0,baseline
2026-03-27T15:03:18.381271+00:00,0,1,merge,mlp,17,deepseek-coder-7b-instruct-v1.5,66.46,2.0,rejected
2026-03-27T15:04:59.610239+00:00,1,1,merge,mlp,10,deepseek-coder-7b-instruct-v1.5,65.24,2.0,rejected
2026-03-27T15:06:37.271871+00:00,2,1,merge,mlp,14,deepseek-coder-7b-instruct-v1.5,65.24,2.0,rejected
2026-03-27T15:08:14.757569+00:00,3,1,merge,mlp,20,deepseek-coder-7b-instruct-v1.5,67.07,2.0,rejected
2026-03-27T15:09:56.318295+00:00,4,1,merge,mlp,8,deepseek-coder-7b-instruct-v1.5,65.85,2.0,rejected
2026-03-27T15:11:37.638814+00:00,5,1,merge,mlp,6,deepseek-coder-7b-instruct-v1.5,64.63,2.0,rejected
2026-03-27T15:13:18.969916+00:00,6,1,merge,mlp,26,deepseek-coder-7b-instruct-v1.5,67.07,2.0,rejected
2026-03-27T15:14:55.848736+00:00,7,1,merge,mlp,4,deepseek-coder-7b-instruct-v1.5,68.9,2.0,accepted
2026-03-27T15:16:36.698804+00:00,8,1,merge,mlp,28,deepseek-coder-7b-instruct-v1.5,67.68,2.0,accepted
2026-03-27T15:18:19.429827+00:00,9,1,merge,mlp,2,deepseek-coder-7b-instruct-v1.5,68.9,2.0,accepted
2026-03-27T15:20:00.263454+00:00,10,1,merge,mlp,16,deepseek-coder-7b-instruct-v1.5,71.34,2.0,accepted
2026-03-27T15:21:36.677281+00:00,11,1,merge,mlp,18,deepseek-coder-7b-instruct-v1.5,69.51,2.0,accepted
2026-03-27T15:23:20.188054+00:00,12,1,merge,mlp,11,deepseek-coder-7b-instruct-v1.5,68.29,2.0,accepted
2026-03-27T15:25:12.114603+00:00,13,1,merge,mlp,21,deepseek-coder-7b-instruct-v1.5,68.9,2.0,accepted
2026-03-27T15:27:16.546910+00:00,14,1,merge,mlp,9,deepseek-coder-7b-instruct-v1.5,69.51,2.0,accepted
2026-03-27T15:29:05.427654+00:00,15,1,merge,mlp,7,deepseek-coder-7b-instruct-v1.5,66.46,2.0,accepted
2026-03-27T15:30:57.436133+00:00,16,1,merge,mlp,29,deepseek-coder-7b-instruct-v1.5,67.07,2.0,accepted
2026-03-27T15:32:56.139812+00:00,17,1,merge,attn,20,deepseek-coder-7b-instruct-v1.5,67.07,2.0,accepted
2026-03-27T15:34:53.529882+00:00,18,1,merge,attn,22,deepseek-coder-7b-instruct-v1.5,66.46,2.0,accepted
2026-03-27T15:36:56.736427+00:00,19,1,merge,attn,25,deepseek-coder-7b-instruct-v1.5,66.46,2.0,accepted
2026-03-27T15:38:55.285322+00:00,20,1,merge,attn,2,deepseek-coder-7b-instruct-v1.5,66.46,2.0,accepted
2026-03-27T15:40:47.973288+00:00,21,1,merge,attn,19,deepseek-coder-7b-instruct-v1.5,65.24,2.0,accepted
2026-03-27T15:42:42.658685+00:00,22,1,merge,attn,21,deepseek-coder-7b-instruct-v1.5,66.46,2.0,accepted
2026-03-27T15:44:37.541387+00:00,23,2,merge,mlp,24,deepseek-coder-7b-instruct-v1.5,63.41,2.0,accepted
2026-03-27T15:46:29.931093+00:00,24,2,merge,mlp,14,deepseek-coder-7b-instruct-v1.5,57.93,2.0,rejected
2026-03-27T15:48:20.497918+00:00,25,2,merge,mlp,11,deepseek-coder-7b-instruct-v1.5,56.1,2.0,rejected
2026-03-27T15:50:11.508697+00:00,26,2,merge,mlp,3,deepseek-coder-7b-instruct-v1.5,62.8,2.0,accepted
2026-03-27T15:52:02.807718+00:00,27,2,merge,mlp,9,deepseek-coder-7b-instruct-v1.5,59.15,2.0,rejected
2026-03-27T15:53:51.268426+00:00,28,2,merge,mlp,7,deepseek-coder-7b-instruct-v1.5,59.15,2.0,rejected
2026-03-27T15:55:40.654018+00:00,29,2,merge,mlp,29,deepseek-coder-7b-instruct-v1.5,54.88,2.0,rejected
2026-03-27T15:57:36.613350+00:00,30,2,merge,mlp,18,deepseek-coder-7b-instruct-v1.5,62.2,2.0,accepted
2026-03-27T15:59:25.322926+00:00,31,2,merge,mlp,20,deepseek-coder-7b-instruct-v1.5,56.71,2.0,rejected
2026-03-27T16:01:06.245869+00:00,32,2,merge,mlp,26,deepseek-coder-7b-instruct-v1.5,63.41,2.0,accepted
2026-03-27T16:02:52.571543+00:00,33,2,merge,mlp,2,deepseek-coder-7b-instruct-v1.5,60.37,2.0,accepted
2026-03-27T16:04:45.159244+00:00,34,2,merge,mlp,25,deepseek-coder-7b-instruct-v1.5,58.54,2.0,accepted
2026-03-27T16:06:34.693141+00:00,35,2,merge,mlp,13,deepseek-coder-7b-instruct-v1.5,55.49,2.0,rejected
2026-03-27T16:08:24.981497+00:00,36,2,merge,mlp,19,deepseek-coder-7b-instruct-v1.5,62.8,2.0,accepted
2026-03-27T16:10:13.241844+00:00,37,2,merge,mlp,4,deepseek-coder-7b-instruct-v1.5,59.76,2.0,accepted
2026-03-27T16:12:05.796843+00:00,38,2,merge,mlp,28,deepseek-coder-7b-instruct-v1.5,53.05,2.0,rejected
2026-03-27T16:13:52.296592+00:00,39,2,merge,attn,23,deepseek-coder-7b-instruct-v1.5,59.76,2.0,accepted
2026-03-27T16:15:45.530183+00:00,40,2,merge,attn,27,deepseek-coder-7b-instruct-v1.5,60.37,2.0,accepted
2026-03-27T16:17:39.043572+00:00,41,2,merge,attn,29,deepseek-coder-7b-instruct-v1.5,59.15,2.0,accepted
2026-03-27T16:19:34.343655+00:00,42,2,merge,attn,17,deepseek-coder-7b-instruct-v1.5,53.05,2.0,rejected
2026-03-27T16:21:29.301925+00:00,43,2,merge,attn,8,deepseek-coder-7b-instruct-v1.5,41.46,2.0,rejected
2026-03-27T16:23:22.230980+00:00,44,2,merge,attn,20,deepseek-coder-7b-instruct-v1.5,50.61,2.0,rejected
2026-03-27T16:25:22.655089+00:00,45,2,merge,attn,18,deepseek-coder-7b-instruct-v1.5,50.61,2.0,rejected
2026-03-27T16:27:12.313637+00:00,46,2,merge,attn,26,deepseek-coder-7b-instruct-v1.5,57.93,2.0,accepted
2026-03-27T16:29:03.280643+00:00,47,2,merge,attn,28,deepseek-coder-7b-instruct-v1.5,54.88,2.0,rejected
