cutoff,steps,savings_pct,savings_mb,worst_drop,mean_drop,accuracy_metric,accuracy_drop,accuracy,frontier,Qwen2.5-Coder-7B-Instruct__score,Qwen2.5-Math-7B-Instruct__score,Qwen2.5-Coder-7B-Instruct__drop,Qwen2.5-Math-7B-Instruct__drop
0,0,0.4454,135.676,-0.3,-0.76,mean,-0.76,0.76,1,89.02,91.0,-1.22,-0.3
1,1,0.8892,270.86,1.21,0.755,mean,0.755,-0.755,0,86.59,90.4,1.21,0.3
2,2,1.3346,406.536,2.43,2.015,mean,2.015,-2.015,0,85.37,89.1,2.43,1.6
3,3,1.4425,439.419,0.0,-0.35,mean,-0.35,0.35,1,87.8,91.4,0.0,-0.7
4,4,1.5384,468.648,1.21,0.505,mean,0.505,-0.505,0,86.59,90.9,1.21,-0.2
5,5,1.6344,497.877,1.21,1.205,mean,1.205,-1.205,0,86.59,89.5,1.21,1.2
6,6,1.6344,497.877,1.21,1.105,mean,1.105,-1.105,0,86.59,89.7,1.21,1.0
7,7,1.7184,523.452,2.43,1.065,mean,1.065,-1.065,0,85.37,91.0,2.43,-0.3
8,8,1.7184,523.452,2.43,1.265,mean,1.265,-1.265,0,85.37,90.6,2.43,0.1
9,9,1.7184,523.452,2.43,0.965,mean,0.965,-0.965,0,85.37,91.2,2.43,-0.5
10,10,1.7304,527.106,0.0,-0.1,mean,-0.1,0.1,1,87.8,90.9,0.0,-0.2
11,11,1.8143,552.681,1.21,0.805,mean,0.805,-0.805,0,86.59,90.3,1.21,0.4
12,12,1.8263,556.335,2.43,0.715,mean,0.715,-0.715,0,85.37,91.7,2.43,-1.0
13,13,1.8383,559.989,2.43,0.565,mean,0.565,-0.565,1,85.37,92.0,2.43,-1.3
