cutoff,steps,savings_pct,savings_mb,worst_drop,mean_drop,accuracy_metric,accuracy_drop,accuracy,frontier,deepseek-coder-7b-instruct-v1.5__score,deepseek-math-7b-instruct__score,deepseek-coder-7b-instruct-v1.5__drop,deepseek-math-7b-instruct__drop
0,0,0.6507,179.872,1.22,0.51,mean,0.51,-0.51,0,73.17,80.6,1.22,-0.2
1,1,0.9765,269.918,0.7,-1.48,mean,-1.48,1.48,0,78.05,79.7,-3.66,0.7
2,2,1.3015,359.743,0.3,-1.68,mean,-1.68,1.68,1,78.05,80.1,-3.66,0.3
3,3,1.6264,449.569,1.5,-1.08,mean,-1.08,1.08,1,78.05,78.9,-3.66,1.5
4,4,1.9514,539.394,1.6,-0.42,mean,-0.42,0.42,0,76.83,78.8,-2.44,1.6
5,5,2.2764,629.219,1.8,-0.32,mean,-0.32,0.32,0,76.83,78.6,-2.44,1.8
6,6,2.6013,719.045,1.8,-0.93,mean,-0.93,0.93,0,78.05,78.6,-3.66,1.8
7,7,2.9263,808.87,2.3,-0.07,mean,-0.07,0.07,0,76.83,78.1,-2.44,2.3
8,8,3.289,909.14,2.4,-0.02,mean,-0.02,0.02,0,76.83,78.0,-2.44,2.4
9,9,3.6518,1009.41,1.9,0.95,mean,0.95,-0.95,0,74.39,78.5,0.0,1.9
10,10,3.7727,1042.833,0.4,-1.02,mean,-1.02,1.02,1,76.83,80.0,-2.44,0.4
11,11,3.8936,1076.257,1.9,0.95,mean,0.95,-0.95,0,74.39,78.5,0.0,1.9
12,12,4.0145,1109.68,0.7,-0.26,mean,-0.26,0.26,1,75.61,79.7,-1.22,0.7
13,13,4.1355,1143.103,1.5,0.14,mean,0.14,-0.14,1,75.61,78.9,-1.22,1.5
14,14,4.2564,1176.527,1.8,0.29,mean,0.29,-0.29,1,75.61,78.6,-1.22,1.8
15,15,4.3773,1209.95,1.5,0.75,mean,0.75,-0.75,1,74.39,78.9,0.0,1.5
